Specialist Task,Specialist Cluster,Cluster Family,Skill Statement
Research geological features or processes,Undertake geological research,Science and mathematics,"Conduct research in order to analyse and understand the geological features (including composition, structure and function) or processes (including weathering, erosion and deposition). Findings may be used to inform a range of applications such as construction and site development, agricultural activities, bush regeneration and restoration, surveying, or scientific analysis."
Research hydrologic features or processes,Undertake geological research,Science and mathematics,"Conduct research in order to analyse and understand hydrologic features or processes (such as reservoirs, streams, rainfall, groundwater flow, and evaporation). Findings may be used to inform a range of applications such as construction and site development, agricultural activities, conservation, regeneration, and restoration, surveying, or scientific analysis. It may involve tasks such as the collection and analysis of specimens or samples, undertaking desktop research or literature review, undertaking data analysis or modelling, conducting field studies or making observations, and conducting laboratory experiments or analysis."
"Advise others on technical requirements for surveying, mapping and spatial information systems",Undertake scientific research or activities,Science and mathematics,"Provide guidance and expertise on the technical aspects of surveying, mapping, and spatial information systems including methods of collection, storage, analysis and presentation of survey or geospatial data. This may also involve advising on environmental concerns, software, equipment and regulations or standards."
Collaborate on research activities with scientists or technical specialists,Undertake scientific research or activities,Science and mathematics,"Collaborate with scientists or technical specialists before, during or after undertaking research activities in order to inform best practice, design experiments or studies, share resources, technical capability, or knowledge, acquire proofreading for papers, determine ethical implications and seek endorsement or funding."
Design research studies to obtain scientific information,Undertake scientific research or activities,Science and mathematics,"Design research studies by determining study type (observational, descriptive, or experimental), defining research questions and objectives, methodologies, and sampling techniques, and ensuring ethics clearances and other permissions are obtained where necessary. Research designs should be internally valid (by recognising biases that may be present and ways to address them), externally valid (so the findings may be generalised to other contexts), repeatable, and should address a gap in previous literature or an issue of concern in scientific field of interest."
Develop technical or scientific databases,Undertake scientific research or activities,Science and mathematics,"Develop technical or scientific databases to store data such as experimental or observational research findings safely and effectively, field notes, geospatial information or data gathered from publicly available sources (including government reports and registers). Enable filtering, search, and export functions to allow users to retrieve and share data and take necessary precautions to ensure the privacy and security of all data is maintained."
Develop theories or models of physical phenomena,Undertake scientific research or activities,Science and mathematics,"Develop theories or models that provide a coherent explanation, prediction, interpretation or simulation of physical phenomena and natural processes including pulling or pushing forces, energy sources and expenditure, structures or behaviour of matter and other properties of physics. Theories or models should be created based on relevant scientific or technical principles and frameworks that aim to clearly explain these phenomena and may include visual aids (such as diagrams, physical replicas, and digital renderings), analyses of previous literature or collaboration with other scientific or technical professionals."
Direct scientific activities,Undertake scientific research or activities,Science and mathematics,"Oversee and manage scientific activities. This may include providing specialist or technical knowledge and guidance to ensure factors such as study design, data collection and research techniques align with scientific best practice and will achieve relevant results. It may also include undertaking general project management tasks to ensure project goals, timelines and budgets are met - such as seeking approvals and ensuring compliance with applicable regulations, managing financing and other resources, and collaboration with relevant stakeholders to understand implications of findings or inform policy."
Perform clinical trials,Undertake scientific research or activities,Science and mathematics,"Perform clinical trials to investigate new treatments, interventions, or tests and their impact on health outcomes. Test interventions against controls to gather information about effectiveness and safety. Adhere to national ethics guidelines and codes of conduct, including TGA and international guidelines for substances and devices as applicable. Follow trial protocols to ensure safety, efficacy, and integrity of results; adhere to the required number of participants for the relevant trial phase; and consider factors such as randomisation, blinding, and the use of placebos the reduce the effects of bias. Examine trial information and determine whether the intervention should continue to the next phase or seek approval for general use by the relevant authorities."
Develop and maintain contingency plans for disasters or emergencies,Develop and maintain emergency plans,Security and emergency services,"Identify critical data, software, equipment, infrastructure and critical business or service functions, and develop and maintain contingency, recovery or backup plans to ensure that critical functions and assets are preserved in the event of a disaster."
Develop emergency procedures,Develop and maintain emergency plans,Security and emergency services,"Create plans outlining how to effectively respond or act in the event of an emergency, for example an evacuation plan that outlines available exits, routes, contingencies, and safe meeting points as well as how to account for individuals. This may include taking into account a variety of emergency types, procedures and the nature or hazards relevant to the specific environment as well as features of the environment itself."
Apply and maintain information security controls as required by policies or risk assessments,Enforce or maintain ICT security,Security and emergency services,"Set and maintain parameters and protocols in place to protect data and digital infrastructure and assets such as files, systems, or networks, editing as necessary to reflect relevant policies or risk assessments and maintain security against evolving threats."
"Assess risks to networks, systems, or data, and specify recovery routines and contingency procedures",Enforce or maintain ICT security,Security and emergency services,"Evaluate risks, vulnerabilities, potential threats to networks, systems, or data in order to develop recovery routines and contingency procedures. Identify functions, documentation, data, and software that is critical to organisations, analyse the ways in which these would be impacted as a result of network failures, damage or security breaches, and outline a range of corresponding actions and protections to be put into place for active preventative and responsive procedures. Recovery routines and contingency procedures should detail cost and resource requirements, level of risk, and the ways in which they minimise operational down-time in worst-case scenarios."
Collate and analyse information for threat intelligence requirements from a variety of sources,Enforce or maintain ICT security,Security and emergency services,"Use information gathered from research to fulfil threat intelligence requirements (answer the questions of stakeholders regarding the threats or vulnerabilities of a network or system, that when answered, fill a gap in critical knowledge and understanding). This could include identifying and analysing threat actors, trends, patterns, or warnings indicating threats to the security of assets, information, or infrastructure."
"Collect, process and preserve digital records or evidence in accordance with procedures",Enforce or maintain ICT security,Security and emergency services,"Access and extract data, digital evidence and digital records from devices and workstations, including mobile devices, networked devices, smart devices, Internet of Things (IoT) devices and microcontrollers, USBs, applications, networks, and systems in accordance with procedures and legislation. Document, record, or store evidence in compliance with security and evidentiary requirements."
Conduct legal cyberattack simulations by designing and utilising hacking tools,Enforce or maintain ICT security,Security and emergency services,Analyse cyber security environment and identify vulnerabilities by legally designing and utilising hacking tools such as computer programs and scripts to exploit weak points in the current cyber security environment. This may include documenting any findings for further analysis or improvements.
Create electronic data backup to prevent loss of information,Enforce or maintain ICT security,Security and emergency services,"Implement or perform data backup processes to protect, preserve and secure against the loss of information during a data breach, cyber-attack, equipment or systems malfunction or failure, disaster or emergency."
Ensure business strategies comply with information security standards,Enforce or maintain ICT security,Security and emergency services,"Compare current business strategies relating to data and information storage, access, modification, access, and destruction, against current cyber security standards and regulations, in order to ensure the safety and privacy of critical data. Identify and correct any issues or areas of non-compliance."
Identify cyber security threats and determine counter measures,Enforce or maintain ICT security,Security and emergency services,"Use sources of information such as sensors and data logs to identify cyber security threats and behaviours, utilise technical knowledge to determine or develop appropriate counter measures and make recommendations to minimise or remove risks and threats based on findings."
Implement security measures for computer or information systems,Enforce or maintain ICT security,Security and emergency services,"Implement security measures, policies, or processes to protect information or data against unauthorised access, modification, loss, damage, or disclosure. This may include specifying users and user access levels, permissions, or system rights, implementing web security measures such as firewalls or encryption, updating or patching software programs."
Monitor the security of digital information,Enforce or maintain ICT security,Security and emergency services,"Monitor the security of digital information in order to detect or prevent damage, loss or unauthorised access. This could include exercising security surveillance or review of document access, reproduction, distribution, or storage; or monitoring security systems and performance logs for problems, intrusions or attacks."
Respond to cyber attacks and restore protection to systems if compromised,Enforce or maintain ICT security,Security and emergency services,"Respond to cyber security incidents, identifying and confirming the occurrence and nature of the attack, and containing or responding to the threat in accordance with current cyber security incident response plans, organisational policies and procedures, and legislation. This may involve the application of skills across systems administration, network security, applications and programming, and the use of a range of technological tools and software. This may also include analysing and assessing the source, impact, and consequences of the incident afterwards, evaluating the actions taken and the effectiveness of cyber security incident response plans."
"Escort people in prison to courtrooms, prisons, or other facilities",Investigate illegal activities or maintain security,Security and emergency services,"Supervise people in custody as they move between facilities such as courtrooms, prisons, or other environments, maintaining their ongoing custody, supervision, and security. This may include undertaking risk assessments, implementing relevant security procedures, briefing, or relaying relevant information to personnel or persons in custody, supporting people in custody with their interactions or roles, maintaining situational awareness, reacting responsively, and reporting incidents as required."
Investigate illegal or suspicious activities,Investigate illegal activities or maintain security,Security and emergency services,"Conduct an investigation into allegations of crimes or illegal activity in accordance with relevant legislation, policies and procedures. Collect evidence and information, evaluate it to determine evidentiary and investigative value, and document or record it in compliance with security and evidentiary requirements."
"Investigate transportation incidents, violations, or complaints",Investigate illegal activities or maintain security,Security and emergency services,"Investigate the status, contents, or parts of a vessel, vehicle or aircraft or the area where an alleged or actual incident took place, in order to determine the facts of a transportation incident, violation or complaint. For example, investigating a complaint that a boat that is no longer seaworthy is being used for commercial deep sea fishing purposes, interviewing the owner and examining the condition of the vessel."
"Locate or confiscate prohibited, dangerous or suspicious objects or vehicles",Investigate illegal activities or maintain security,Security and emergency services,"Identify, seize, and record the collection of illegal or dangerous items from areas. Process, store, dispose of, or destroy items in accordance with relevant policies, procedures, or legislation. This may include identifying and seizing vehicles suspected to be stolen or involved in the transmission of illegal or dangerous items, or otherwise utilised for illegal activity. Return authorised items in the condition they were found."
Maintain general workplace security,Investigate illegal activities or maintain security,Security and emergency services,"Maintain the general security of information, property, and individuals in a workplace by following basic security principles and established workplace procedures. For example, by adhering to a workplace 'clear desk ' policy, ensuring sensitive information is stored in a physical or digital location with the appropriate security controls, or ensuring physical security measures such as doors, gates or other barriers are closed and locked as necessary."
Maintain public order or security,Investigate illegal activities or maintain security,Security and emergency services,"Monitor, maintain a presence or circulate within an area or group of people in order to maintain the order and good behaviour of people, enforce rules, respond to incidents and protect people or property."
Manage organisational security activities,Investigate illegal activities or maintain security,Security and emergency services,"Manage and direct the (non-ICT) security-related activities of an organisation in order to maintain the security and safety of people, property and information. This could include developing a physical security plan for a building or site, including implementing access control, taking into account security camera angles and patrol patterns for security guards; or developing and implementing policies for the classification, handling, storage and destruction of sensitive information, resources and documents."
Monitor alarm systems or emergency switchboards,Investigate illegal activities or maintain security,Security and emergency services,"Monitor alarm systems or emergency switchboards and respond to alerts or requests for emergency assistance in accordance with regulations and established protocols. This may involve verifying details of the incident, identifying the required resources, and requesting they are dispatched while relaying relevant information, including through the use of computer aided dispatch systems. For example, receiving an emergency incident call for a medical emergency at a suburban property, gathering relevant details and requesting dispatch of an available team of paramedics, giving them the details of the emergency and the address."
Monitor or guard properties to maintain safety or security,Investigate illegal activities or maintain security,Security and emergency services,"Monitor or guard an assigned area in order to protect people and property. This could include patrolling to detect suspicious items or behaviour, or unauthorised access, and could include the use of alarm systems, or communication or surveillance equipment."
Observe or maintain surveillance of individuals or establishments,Investigate illegal activities or maintain security,Security and emergency services,"Monitor establishments or individuals in order to gather information, detect illegal behaviour, identify issues or compile evidence. This may involve direct observation or monitoring of video footage or audio surveillance devices, and may also include interrogating data or records, and searching property, possessions, or technological devices and records. It may also include collecting and documenting evidence in compliance with security and evidentiary requirements and protocols."
Operate surveillance equipment to detect suspicious or illegal activities,Investigate illegal activities or maintain security,Security and emergency services,"Operate surveillance equipment such as cameras, trackers, and audio transmitting or recording devices in order to monitor or record audio or visual data from areas, scenes, objects, individuals or other physical evidence pertaining to suspicious or illegal activities. This could include testing, maintaining, or replacing surveillance equipment to ensure correct usage and to monitor for tampering."
Prevent unauthorised access to restricted areas,Investigate illegal activities or maintain security,Security and emergency services,"Monitor and prevent, restrict, or authorise the passage of individuals or vehicles through a restricted area in order to preserve safety or security. This may include verifying the identity of individuals attempting to enter or leave a restricted area in accordance with regulations or procedures."
Record information about suspicious objects,Investigate illegal activities or maintain security,Security and emergency services,"Identify and record relevant information regarding suspicious objects or vehicles, referring the matter and information gathered to the relevant authorities where appropriate. For example, writing down the make, model, and registration of a car speeding through a 40km/h school zone and referring the matter to the police."
"Search individuals for illegal, restricted, or dangerous items",Investigate illegal activities or maintain security,Security and emergency services,"Use the pat-down screening method or security screening equipment such as full body scanners or metal detectors to search individuals, their clothing, or their possessions in order to identify the presence of illegal, restricted or dangerous items. This will include adhering to relevant legislation and processes, including with regard to cultural or other sensitivities relating to dress or physical contact. This may also include seizing and recording the collection of illegal or dangerous items from individuals, and processing, storing, disposing of, or destroying items in accordance with relevant policies, procedures, or legislation. Return authorised items in the condition they were found."
Investigate personal characteristics or activities of individuals,Investigate personal characteristics,Security and emergency services,"Evaluate the personal characteristics, behaviour, or activities of individuals in accordance with relevant regulations or procedures, in order identify or clear wrongdoing, or determine the risk they may pose to an organisation or process. For example, conducting personal background investigations during pre-employment checks in order to reduce the risk of loss or fraud, assessing driving or accident history to determine the risk of future incidents, or assessing financial information to determine an individual's ability to service a loan or mortgage."
Document legal or regulatory information,Manage legal or regulatory materials,Security and emergency services,"Document legal or regulatory information in accordance with legislative requirements. For example, entering the details of a penalty notice for failure to comply with the food standards code into the public register of penalty notices, or preparing formal charges according to legal protocol."
Enforce rules or regulations,Manage legal or regulatory materials,Security and emergency services,"Ensure rules and regulations are followed by clearly defining and communicating them and preventing or stopping actions or activities that violate them. For example, enforcing the rules and regulations regarding the safe and responsible service of alcohol in a bar by refusing to serve obviously intoxicated patrons."
Issue warnings or fines,Manage legal or regulatory materials,Security and emergency services,"Record and issue warnings or fines for illegal behaviours or activities. For example, issue an on-the-spot fine to a dog owner who has their dog unleashed in a public place that is not an off-leash area."
Maintain regulatory or compliance documentation,Manage legal or regulatory materials,Security and emergency services,"Maintain required records of a place, person or persons, business, or other legal entity in regard to compliance with relevant laws, codes, regulations or other requirements, submitting or providing to appropriate regulatory or enforcement agencies when necessary to verify compliance. For example, recording the biosecurity status of farms, stock, or livestock in compliance documentation, advising of any breaches and of the overall status of the crop, animals, or stock."
Maintain the order of legal documents,Manage legal or regulatory materials,Security and emergency services,"Verify that physical and electronic legal documents are complete, correct, and contained in a secure and confidential manner in compliance with law and regulations. This may include destroying physical and electronic documents in accordance with regulations and procedures following a review of the information after a specific time period."
Obtain copyrights or other legal permissions to use material,Manage legal or regulatory materials,Security and emergency services,"Source, obtain and record confirmation of the permission, licence, or rights to use, copy, or communicate material in accordance with law or regulations. For example, arranging for copyright permissions or a licence to use a specific song in an advertisement."
Process forensic or legal evidence in accordance with procedures,Manage legal or regulatory materials,Security and emergency services,"Process forensic or legal evidence by appropriately documenting, logging, packaging, and storing it in accordance with established procedures and law. This includes retrieving evidence and submitting it to authorised parties for analysis or legal proceedings and may include arranging for the destruction of illegal or dangerous goods or old evidence according to protocol."
Administer oaths or affirmations to court participants,Prepare legal proceedings and represent clients,Security and emergency services,"Ensure individuals comprehend, take, and receive a binding oath or non-religious affirmation to tell the truth in legal or legislative proceedings. May involve the use of religious texts to swear on, arranging for the oath or affirmation to be read on behalf of witnesses with accessibility needs, and advising of the consequences of lying or giving false evidence under oath."
Conduct hearings to investigate legal or legislative issues or matters of public interest,Prepare legal proceedings and represent clients,Security and emergency services,"Conduct a proceeding before a court or other decision-making body or officer such as a government agency or parliamentary committee, in order to investigate legal issues. This may involve the presentation of legal arguments, evidence, or testimony. It may result in findings, orders, directions, decisions, verdicts, or determinations, and may move to sentencing depending on the nature of the proceeding."
Coordinate legal schedules or activities,Prepare legal proceedings and represent clients,Security and emergency services,"Identify relevant parties required to attend an appointment, meeting, event, or court date and arrange logistics appropriately to ensure attendance. For example, arrange a suitable time for a conveyancing meeting with a client that ensures a solicitor can be present to witness a statutory declaration or to validate copies of identity documents."
Direct courtroom activities or procedures,Prepare legal proceedings and represent clients,Security and emergency services,"Provide advice, direction, or instruction to ensure courtroom activities are conducted in accordance with applicable law, rules and procedures, and individuals are treated fairly, with their legal rights protected. For example, instructing or reminding individuals of proper conduct or instructing juries in regard to applicable laws."
Evaluate information related to legal matters in public or personal records,Prepare legal proceedings and represent clients,Security and emergency services,"Search public or personal records for information relevant to, or useful for, a legal matter and assess its evidentiary value."
"Interview witnesses, suspects or claimants",Prepare legal proceedings and represent clients,Security and emergency services,"Question individuals to gather relevant information about an incident or suspected crime. For example, interview witnesses of a store robbery to assist with the gathering of evidence, identifying suspects, establishing losses or to determine a valid insurance claim."
Investigate legal issues,Prepare legal proceedings and represent clients,Security and emergency services,"Investigate suspected or reported instances of illegal or suspicious activity, referring the claim to the relevant authorities where appropriate. For example, review business transactions to investigate allegations of financial fraud, ascertaining all relevant facts pertaining to the issue and making recommendations where appropriate; or investigate allegations of abuse or neglect and take authorised protective action where necessary."
Meet with individuals involved in legal processes to gather or provide information and clarify issues,Prepare legal proceedings and represent clients,Security and emergency services,"Meet with individuals involved in legal processes to gather relevant to their situation or circumstance, provide general information or to clarify issues. For example, meet with an individual who has been summonsed to appear in court, and provide information about timing, court requirements and protocols."
Provide legal advice to clients,Prepare legal proceedings and represent clients,Security and emergency services,"Provide oral or written counsel to clients about a legal matter that would impact their rights or responsibilities, based on careful analysis of the law as it applies to the specific situation or set of circumstances."
Represent the interests of clients in legal proceedings or court,Prepare legal proceedings and represent clients,Security and emergency services,"Act in the best interest of clients during legal proceedings or in court while fulfilling statutory and professional responsibilities. This may include providing a client with legal advice tailored to their situation, while ensuring that they are made aware of their rights and responsibilities."
Research relevant records or legal materials to aid decision making,Prepare legal proceedings and represent clients,Security and emergency services,"Research and review sources of legal data and information in order to find information relevant to the case, circumstances or situation. For example, review previous case files to find incidents of relevant precedent to a case going to trial. Apply critical thinking and legal knowledge to evaluate the relevance and potential impact."
Testify at legal or legislative proceedings,Prepare legal proceedings and represent clients,Security and emergency services,"Give testimony under oath or non-religious affirmation as a witness in a court setting, providing information relevant to legal or legislative proceedings. This may involve being cross-examined or questioned by the other party or lawyer in the case, being a witness of fact (giving relevant information you have seen or heard) or being an expert witness (providing specialist knowledge on an aspect of a case)."
Respond to emergencies to provide assistance,Provide or request emergency assistance,Security and emergency services,"Respond to critical incidents or emergency incidents to provide technical, physical, psychological, medical, or other emergency assistance. This may include requesting further assistance from relevant authorities, providing rescue, treatment, minimising adverse effects or aiding recovery."
Direct emergency management activities,Provide or request emergency response,Security and emergency services,"Lead and coordinate emergency management efforts, such as planning, response, recovery, and mitigation, to ensure the safety, recovery, and well-being of affected communities or groups. This may include providing specialist or technical knowledge and guidance for activities such as undertaking emergency risk assessment, planning, or management; managing legislative or regulatory compliance; service delivery; or communications and media. This may also involve undertaking general project management tasks such as managing staff and resource allocation, and providing supervision, guidance, and direction."
Request emergency personnel,Provide or request emergency response,Security and emergency services,"Identify the need for serious or urgent emergency assistance and contact the relevant authorities to request attendance, outlining the situation and any relevant details."
Rescue people from hazardous situations,Provide or request emergency response,Security and emergency services,"Safely extract individuals from hazardous situations in order to protect and preserve life, evaluating situational information in order to compile and execute an operational plan. This may include the use of specialised equipment or utilising technical knowledge for working in hazardous environments such as at height, in water, or in confined spaces - and may include coordinating with other authorities or specialists."
Supervise activities of people in prison,Supervise people in prison,Security and emergency services,"Monitor the physical, mental, emotional, and social wellbeing of inmates, ensuring that the care and supervision being provided aligns with regulations and procedures. This may also include communicating with inmates to confirm or ensure that their special needs or requirements are met, such as medical needs, spiritual needs, or dietary requirements."
Analyse forensic or other legal evidence,Undertake criminal and legal investigations,Security and emergency services,"Analyse forensic or other evidence at a scene, in a laboratory or another technical setting in order to help determine the facts of a case. This will include following procedures and policies that preserve evidentiary validity and value and may include the use of specialised or protective equipment and hazardous materials."
Apprehend criminal suspects,Undertake criminal and legal investigations,Security and emergency services,"Locate, pursue, apprehend, or arrest suspects or perpetrators of criminal acts, possibly using reasonably necessary physical force to ensure compliance. This may include detaining a person for later release into the custody of a law enforcement individual."
Collect evidence for legal or financial claims,Undertake criminal and legal investigations,Security and emergency services,"Gather evidence relevant to a legal or financial claim, considering its impact or relevance to the matter as well as issues of admissibility or legality. This could include data, documents or records, statements, declarations, or affidavits, or evidence collected during observations or surveillance such as photographs or videos."
Detain suspects or witnesses,Undertake criminal and legal investigations,Security and emergency services,"Stop individuals from leaving a scene or area to facilitate later investigation or questioning. For example, detaining a witness at the scene of a crime or preventing an individual who has breached customs or immigration laws from leaving until law enforcement arrives."
Direct criminal investigations,Undertake criminal and legal investigations,Security and emergency services,"Direct and oversee criminal investigations. This may include providing specialist or technical knowledge and guidance, including ensuring evidentiary, security, legislative, and regulatory requirements are adhered to. In particular, how they relate to the conduct and processes of the investigation and the collection, assessment, evaluation, recording, and storage of information and evidence. This may also involve undertaking general project management tasks such as managing staff and resource allocation, and providing supervision, guidance, and direction."
Examine crime scenes to obtain evidence,Undertake criminal and legal investigations,Security and emergency services,"Methodically search and examine an area to identify and locate physical or other evidence, using proper technique and adhering to protocols in order to preserve evidence and prevent contamination, maximising evidentiary value."
Examine records or other types of data to investigate criminal activities,Undertake criminal and legal investigations,Security and emergency services,"Obtain and analyse information on suspects, suspected crimes, or other incidents from physical or digital sources, including computer databases, digital access logs, phone or internet records, public records, witness statements or tax or legal filings. For example, review the internet browsing history of a suspected criminal for relevant searches or website visits."
Investigate suspected crimes or misconduct committed within organisations,Undertake criminal and legal investigations,Security and emergency services,"Conduct investigations into allegations of misconduct, crimes, or illegal activity within organisations, referring the matter to the relevant authorities where appropriate. This requires knowledge of applicable laws and may include reviewing system access or other digital logs, reviewing video surveillance footage or building access records, interviewing individuals, or analysing financial or other data to detect or determine misconduct or wrongdoing."
Record crime or accident scene evidence with video or still cameras,Undertake criminal and legal investigations,Security and emergency services,"Use still or video cameras to photograph or video scenes, objects, individuals, or other physical evidence to document findings and collect evidence for later investigation and analysis. Ensure all relevant aspects and details are captured and protocols are followed in order to maximise evidentiary value."
Record information about suspects or criminals,Undertake criminal and legal investigations,Security and emergency services,"Collect, record, and maintain information about suspects or criminals. This may include identifying details such as height, weight and appearance, relevant personal information such as known addresses, recent activity, affiliations with individuals or organisations of interest, and legal information such as criminal history and current, pending, or possible charges. This may also include maintaining records of activities of people in prison."
Assess characteristics of fires,Undertake firefighting and related activities,Security and emergency services,"Observe and analyse characteristics of fires such as flame height, smoke direction, fire intensity, shape, fronts, and rate of spread in order to predict fire behaviour and plan firefighting activities accordingly. This may also involve assessment of external characteristics such as weather or climate, terrain, location, available or consumed fuel, and ignition point."
Examine debris to obtain information about causes of fires,Undertake firefighting and related activities,Security and emergency services,"Examine or test debris from fires, or fire sites, in order to determine facts relevant to the cause of a fire. For example, test for accelerant residue or examine burn patterns."
Locate fires or fire danger areas,Undertake firefighting and related activities,Security and emergency services,"Use technical knowledge, sight, or equipment such as thermal imaging cameras, drones, communication devices, GPS or navigation technologies or Geographic information systems (GIS), to identify or locate fires or fire danger areas. For example, using thermal imaging cameras to see through smoke and debris to identify fires or 'hot spots'; or using technical knowledge to identify factors such as ventilation or fuel availability that increase fire risk and require preventative action."
Perform bush firefighting activities,Undertake firefighting and related activities,Security and emergency services,"Respond to fire in a rural environment, observing and reacting to wildfire and weather conditions by using water, firefighting equipment, and extinguishing media to combat, control or supress a fire. This may also include setting and controlling fires for hazard reduction purposes and removing brush or trees to create a fire break."
Prepare or operate firefighting equipment,Undertake firefighting and related activities,Security and emergency services,"Control and supress fires using firefighting equipment such as hoses, extinguishers, axes, rakes, shovels, and sprayers. Select and prepare equipment in accordance with the type of fire, manufacturer instructions and emergency response procedures. This may also include examining, testing, and maintaining equipment in line with regulations and procedures, ensuring that it is fit for purpose."
Protect property from fire or water damage,Undertake firefighting and related activities,Security and emergency services,"Take action to protect property from fire or water damage, or further damage, in response to an incident or as a preventative measure. For example, by pumping water from a flooded building, or using sandbags to hold rising water at bay."
"Safely use rifles, revolvers and other firearms","Use weapons, firearms or physical force",Security and emergency services,"Store, carry, handle, load, and discharge firearms safely and in accordance with law, regulations, and procedures. This includes an assessment of the need to use firearms, analysing risk, and making judgements according to use of force guidelines and legal requirements. Select appropriate ammunition in compliance with law, purpose, and manufacturer specifications, select required personal protective equipment, ensure retention and continued control, and comply with stress management techniques."
Use weapons or physical force to maintain security,"Use weapons, firearms or physical force",Security and emergency services,"Use reasonably necessary physical force or weapons such as tasers, batons or firearms in accordance with law, regulations, and established procedures, in order to maintain security, order, and protect individuals or property."
Create technology-based learning materials,Develop or promote educational materials and programs,Teaching and education,"Create technology-based learning materials in order to facilitate interactive, engaging learning environments that students can access at home or school through the use of digital tools (for example, digital storytelling through multimedia presentations, educational games or puzzles, automatically graded quizzes, mathematical or data modelling and augmented or virtual reality). Consider developmental or visual disabilities in the creation of materials and provide assistance to students in the setup, organisation and troubleshooting of technologies or refer students to appropriate ICT support staff."
Develop educational or training programs,Develop or promote educational materials and programs,Teaching and education,"Design a sequence, package, or program of learning activities or experiences aimed at developing student capability, knowledge, skills, abilities, or thinking. This could include physical, academic, personal and interpersonal, creativity, problem solving or other cognitive skills and capability. Programs may be linked to curriculum, standards, goals, developmental milestones or other governing standards or information. For example, design an early childhood program for babies that includes reading, singing, and music to build foundational literacy skills, and rolling or practicing standing to help with their physical development."
Develop instructional objectives,Develop or promote educational materials and programs,Teaching and education,"Establish clear learning objectives or outcomes for lessons, courses, units, projects, and other learning activities in line with relevant curriculum, educational policies, and guidelines, and relevant for students at the appropriate year or qualification level. Provide an appropriate level of detail about what students should expect to learn, experience, and apply during activities, classes, or courses. This may include communicating this to students or others through materials such as course outlines or rubrics."
Develop instructional or training materials,Develop or promote educational materials and programs,Teaching and education,"Develop instructional or training materials that align with relevant curriculum, instructional objectives, and desired learning outcomes for students at the relevant year or qualification level. Materials should take accessibility requirements into consideration and examples may include visual aids, study materials, worksheets, handouts, assignments, quizzes and other assessment pieces, video, or digital content."
Document lesson plans,Develop or promote educational materials and programs,Teaching and education,"Document lesson plans in accordance with curricular or extra-curricular objectives, educational program requirements and available resources in order to be organised prior to classes, submit for review by senior or other teachers, to assist relief or substitute teachers, or comply with institutional policies and procedures."
"Evaluate training programs, instructors or materials",Develop or promote educational materials and programs,Teaching and education,"Evaluate training programs, instructors, or materials by analysing student feedback and instructors’ comprehension and interpretation of program materials and objectives, observing lessons, or otherwise monitoring instructor performance and reviewing program content and materials for accuracy, accessibility, and cost-effectiveness. Record findings and determine the effectiveness of programs, instructors, or materials by considering whether the training content and level of complexity discussed was appropriate for students and to reach desired learning outcomes and recommend improvements or modifications as necessary."
Plan and lead experiential learning activities,Develop or promote educational materials and programs,Teaching and education,"Plan and lead experiential learning activities for students to facilitate learning through experience, such as projects, experiments, work experience, school camps, tours, workshops, or excursions. Acquire permissions where necessary and plan activities that are interactive, engaging, and accessible in order to facilitate practical knowledge and realistic information about specific topics, skillsets or careers. For example, grow a garden to learn about photosynthesis, or visit the zoo to observe, rather than read about, animal behaviour."
